dcid,sentence
Exports_EconomicActivity_FerrousProductsObtainedByDirectReductionOfIron7203,Exports of ferrous products obtained by direct reduction of
Exports_EconomicActivity_FerrousProductsObtainedByDirectReductionOfIron7203_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of ferrous products obtained by direct reduction of
Exports_EconomicActivity_FerrousWasteAndScrapRemeltingScrapIngotsOfIronOr,Exports of ferrous waste and scrap remelting scrap ingots
Exports_EconomicActivity_FerrousWasteAndScrapRemeltingScrapIngotsOfIronOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of ferrous waste and scrap remelting scrap ingots
Exports_EconomicActivity_Fertilizers,Exports of fertilizers
Exports_EconomicActivity_FertilizersAnimalOrVegetableWhetherOrNotMixed3101,Exports of fertilizers animal or vegetable whether or not
Exports_EconomicActivity_FertilizersAnimalOrVegetableWhetherOrNotMixed3101_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fertilizers animal or vegetable whether or not
Exports_EconomicActivity_FertilizersMineralOrChemicalContaining2Or3OfThe,Exports of fertilizers mineral or chemical containing2or3of the
Exports_EconomicActivity_FertilizersMineralOrChemicalContaining2Or3OfThe_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fertilizers mineral or chemical containing2or3of the
Exports_EconomicActivity_FertilizersMineralOrChemicalNitrogenous,Exports of fertilizers mineral or chemical nitrogenous
Exports_EconomicActivity_FertilizersMineralOrChemicalNitrogenous_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fertilizers mineral or chemical nitrogenous
Exports_EconomicActivity_FertilizersMineralOrChemicalPhosphatic3103,Exports of fertilizers mineral or chemical phosphatic
Exports_EconomicActivity_FertilizersMineralOrChemicalPhosphatic3103_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fertilizers mineral or chemical phosphatic
Exports_EconomicActivity_FertilizersMineralOrChemicalPotassic,Exports of fertilizers mineral or chemical potassic
Exports_EconomicActivity_FertilizersMineralOrChemicalPotassic_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fertilizers mineral or chemical potassic
Exports_EconomicActivity_Fertilizers_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fertilizers
Exports_EconomicActivity_FestiveCarnivalOrOtherEntertainmentArticles9505,Exports of festive carnival or other entertainment articles
Exports_EconomicActivity_FestiveCarnivalOrOtherEntertainmentArticles9505_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of festive carnival or other entertainment articles
Exports_EconomicActivity_FibreboardOfWoodOrOtherLigneousMaterialsWhetherOr,Exports of fibreboard of wood or other ligneous materials
Exports_EconomicActivity_FibreboardOfWoodOrOtherLigneousMaterialsWhetherOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fibreboard of wood or other ligneous materials
Exports_EconomicActivity_FilterBlocksSlabsAndPlatesOfPaperPulp,Exports of filter blocks slabs and plates of paper
Exports_EconomicActivity_FilterBlocksSlabsAndPlatesOfPaperPulp_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of filter blocks slabs and plates of paper
Exports_EconomicActivity_FineOrCoarseAnimalHairNotCardedOrCombed,Exports of fine or coarse animal hair not carded
Exports_EconomicActivity_FineOrCoarseAnimalHairNotCardedOrCombed_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fine or coarse animal hair not carded
Exports_EconomicActivity_FinishingAgentsDyeCarriersToAccelerateTheDyeing,Exports of finishing agents dye carriers to accelerate the
Exports_EconomicActivity_FinishingAgentsDyeCarriersToAccelerateTheDyeing_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of finishing agents dye carriers to accelerate the
Exports_EconomicActivity_FirearmsEGSpringAirOrGasGunsAndPistolsTruncheo9304,Exports of firearms egspring air or gas guns and
Exports_EconomicActivity_FirearmsEGSpringAirOrGasGunsAndPistolsTruncheo9304_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of firearms egspring air or gas guns and
Exports_EconomicActivity_FirearmsOtherSimilarDevicesEGSportingShotgunsAnd,Exports of firearms other similar devices egsporting shotguns and
Exports_EconomicActivity_FirearmsOtherSimilarDevicesEGSportingShotgunsAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of firearms other similar devices egsporting shotguns and
Exports_EconomicActivity_FirearmsPartsAndAccessoriesOfArticlesOfHeadingNo,Exports of firearms parts and accessories of articles of
Exports_EconomicActivity_FirearmsPartsAndAccessoriesOfArticlesOfHeadingNo_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of firearms parts and accessories of articles of
Exports_EconomicActivity_FireworksSignallingFlaresRainRocketsFogSignalsAnd,Exports of fireworks signalling flares rain rockets fog signals
Exports_EconomicActivity_FireworksSignallingFlaresRainRocketsFogSignalsAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fireworks signalling flares rain rockets fog signals
Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic,Exports of fish and crustaceans molluscs and other aquatic
Exports_EconomicActivity_FishAndCrustaceansMolluscsAndOtherAquatic_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fish and crustaceans molluscs and other aquatic
Exports_EconomicActivity_FishDriedSaltedOrInBrineSmokedFishWhetherOrNot,Exports of fish dried salted or in brine smoked
Exports_EconomicActivity_FishDriedSaltedOrInBrineSmokedFishWhetherOrNot_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fish dried salted or in brine smoked
Exports_EconomicActivity_FishFilletsAndOtherFishMeatWhetherOrNotMincedFresh,Exports of fish fillets and other fish meat whether
Exports_EconomicActivity_FishFilletsAndOtherFishMeatWhetherOrNotMincedFresh_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fish fillets and other fish meat whether
Exports_EconomicActivity_FishFreshOrChilledExcludingFishFilletsAndOtherFish,Exports of fish fresh or chilled excluding fish fillets
Exports_EconomicActivity_FishFreshOrChilledExcludingFishFilletsAndOtherFish_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fish fresh or chilled excluding fish fillets
Exports_EconomicActivity_FishFrozenExcludingFishFilletsAndOtherFishMeatOf,Exports of fish frozen excluding fish fillets and other
Exports_EconomicActivity_FishFrozenExcludingFishFilletsAndOtherFishMeatOf_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fish frozen excluding fish fillets and other
Exports_EconomicActivity_FishLive,Exports of fish live
Exports_EconomicActivity_FishLive_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fish live
Exports_EconomicActivity_FishingRodsFishHooksAndOtherLineFishingTackleFish,Exports of fishing rods fish hooks and other line
Exports_EconomicActivity_FishingRodsFishHooksAndOtherLineFishingTackleFish_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fishing rods fish hooks and other line
Exports_EconomicActivity_FishingVesselsFactoryShipsAndOtherVesselsFor8902,Exports of fishing vessels factory ships and other vessels
Exports_EconomicActivity_FishingVesselsFactoryShipsAndOtherVesselsFor8902_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fishing vessels factory ships and other vessels
Exports_EconomicActivity_FixedVegetableOrMicrobialFatsAndOilsNECInChapter15,Exports of fixed vegetable or microbial fats and oils
Exports_EconomicActivity_FixedVegetableOrMicrobialFatsAndOilsNECInChapter15_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fixed vegetable or microbial fats and oils
Exports_EconomicActivity_FlatPanelDisplayModulesWhetherOrNotIncorporati8524,Exports of flat panel display modules whether or not
Exports_EconomicActivity_FlatPanelDisplayModulesWhetherOrNotIncorporati8524_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of flat panel display modules whether or not
Exports_EconomicActivity_FlaxRawOrProcessedButNotSpunFlaxTowAndWaste,Exports of flax raw or processed but not spun
Exports_EconomicActivity_FlaxRawOrProcessedButNotSpunFlaxTowAndWaste_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of flax raw or processed but not spun
Exports_EconomicActivity_FlaxYarn,Exports of flax yarn
Exports_EconomicActivity_FlaxYarn_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of flax yarn
Exports_EconomicActivity_FloorCoveringsOfPlasticsSelfAdhesiveOrNotInRollsOr,Exports of floor coverings of plastics self adhesive or
Exports_EconomicActivity_FloorCoveringsOfPlasticsSelfAdhesiveOrNotInRollsOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of floor coverings of plastics self adhesive or
Exports_EconomicActivity_FlourMealAndPowderOfTheDriedLeguminousVegetabl1106,Exports of flour meal and powder of the dried
Exports_EconomicActivity_FlourMealAndPowderOfTheDriedLeguminousVegetabl1106_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of flour meal and powder of the dried
Exports_EconomicActivity_FlourMealPowderFlakesGranulesAndPelletsOfPotatoes,Exports of flour meal powder flakes granules and pellets
Exports_EconomicActivity_FlourMealPowderFlakesGranulesAndPelletsOfPotatoes_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of flour meal powder flakes granules and pellets
Exports_EconomicActivity_FloursAndMealsOfOilSeedsOrOleaginousFruitsOther,Exports of flours and meals of oil seeds or
Exports_EconomicActivity_FloursAndMealsOfOilSeedsOrOleaginousFruitsOther_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of flours and meals of oil seeds or
Exports_EconomicActivity_FloursMealAndPelletsOfMeatOrMeatOffalOfFishOrOf,Exports of flours meal and pellets of meat or
Exports_EconomicActivity_FloursMealAndPelletsOfMeatOrMeatOffalOfFishOrOf_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of flours meal and pellets of meat or
Exports_EconomicActivity_FloursMealsAndPelletsOfFishCrustaceansMolluscsAnd,Exports of flours meals and pellets of fish crustaceans
Exports_EconomicActivity_FloursMealsAndPelletsOfFishCrustaceansMolluscsAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of flours meals and pellets of fish crustaceans
Exports_EconomicActivity_FlowersCutFlowersAndFlowerBudsOfAKindSuitableF0603,Exports of flowers cut flowers and flower buds of
Exports_EconomicActivity_FlowersCutFlowersAndFlowerBudsOfAKindSuitableF0603_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of flowers cut flowers and flower buds of
Exports_EconomicActivity_FlowersFoliageAndFruitArtificialAndPartsThereo6702,Exports of flowers foliage and fruit artificial and parts
Exports_EconomicActivity_FlowersFoliageAndFruitArtificialAndPartsThereo6702_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of flowers foliage and fruit artificial and parts
Exports_EconomicActivity_FluoridesFluorosilicatesFluoroaluminatesAndOth2826,Exports of fluorides fluorosilicates fluoroaluminates and oth
Exports_EconomicActivity_FluoridesFluorosilicatesFluoroaluminatesAndOth2826_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fluorides fluorosilicates fluoroaluminates and oth
Exports_EconomicActivity_FluorineChlorineBromineAndIodine,Exports of fluorine chlorine bromine and iodine
Exports_EconomicActivity_FluorineChlorineBromineAndIodine_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fluorine chlorine bromine and iodine
Exports_EconomicActivity_FoliageBranchesAndOtherPartsOfPlantsWithoutFlo0604,Exports of foliage branches and other parts of plants
Exports_EconomicActivity_FoliageBranchesAndOtherPartsOfPlantsWithoutFlo0604_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of foliage branches and other parts of plants
Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared,Exports of food industries residues and wastes thereof prepared
Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of food industries residues and wastes thereof prepared
Exports_EconomicActivity_FoodPreparationsNotElsewhereSpecifiedOrIncluded,Exports of food preparations not elsewhere specified or included
Exports_EconomicActivity_FoodPreparationsNotElsewhereSpecifiedOrIncluded_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of food preparations not elsewhere specified or included
Exports_EconomicActivity_FootwearGaitersAndTheLikePartsOfSuchArticles,Exports of footwear gaiters and the like parts of
Exports_EconomicActivity_FootwearGaitersAndTheLikePartsOfSuchArticles_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of footwear gaiters and the like parts of
Exports_EconomicActivity_FootwearOtherFootwearNECInChapter64,Exports of footwear other footwear necin chapter
Exports_EconomicActivity_FootwearOtherFootwearNECInChapter64_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of footwear other footwear necin chapter
Exports_EconomicActivity_FootwearPartsOfFootwearRemovableInSolesHeel,Exports of footwear parts of footwear removable in soles
Exports_EconomicActivity_FootwearPartsOfFootwearRemovableInSolesHeel_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of footwear parts of footwear removable in soles
Exports_EconomicActivity_FootwearWaterproofWithOuterSolesAndUppersOfRubber,Exports of footwear waterproof with outer soles and uppers
Exports_EconomicActivity_FootwearWaterproofWithOuterSolesAndUppersOfRubber_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of footwear waterproof with outer soles and uppers
Exports_EconomicActivity_FootwearWithOuterSolesAndUppersOfRubberOrPlast6402,Exports of footwear with outer soles and uppers of
Exports_EconomicActivity_FootwearWithOuterSolesAndUppersOfRubberOrPlast6402_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of footwear with outer soles and uppers of
Exports_EconomicActivity_FootwearWithOuterSolesOfRubberPlasticsLeatherO6403,Exports of footwear with outer soles of rubber plastics
Exports_EconomicActivity_FootwearWithOuterSolesOfRubberPlasticsLeatherO6403_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of footwear with outer soles of rubber plastics
Exports_EconomicActivity_FootwearWithOuterSolesOfRubberPlasticsLeatherO6404,Exports of footwear with outer soles of rubber plastics
Exports_EconomicActivity_FootwearWithOuterSolesOfRubberPlasticsLeatherO6404_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of footwear with outer soles of rubber plastics
Exports_EconomicActivity_ForkLiftAndOtherWorksTrucksFittedWithLiftingOr8427,Exports of fork lift and other works trucks fitted
Exports_EconomicActivity_ForkLiftAndOtherWorksTrucksFittedWithLiftingOr8427_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fork lift and other works trucks fitted
Exports_EconomicActivity_FramesAndMountingsForSpectaclesGogglesOrTheLikeAnd,Exports of frames and mountings for spectacles goggles or
Exports_EconomicActivity_FramesAndMountingsForSpectaclesGogglesOrTheLikeAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of frames and mountings for spectacles goggles or
Exports_EconomicActivity_FrictionMaterialAndArticlesThereofEGSheetsRoll6813,Exports of friction material and articles thereof egsheets roll
Exports_EconomicActivity_FrictionMaterialAndArticlesThereofEGSheetsRoll6813_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of friction material and articles thereof egsheets roll
Exports_EconomicActivity_FruitAndNutsEdiblePeelOfCitrusFruitOrMelons,Exports of fruit and nuts edible peel of citrus
Exports_EconomicActivity_FruitAndNutsEdiblePeelOfCitrusFruitOrMelons_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fruit and nuts edible peel of citrus
Exports_EconomicActivity_FruitAndNutsProvisionallyPreservedButUnsuitableIn,Exports of fruit and nuts provisionally preserved but unsuitable
Exports_EconomicActivity_FruitAndNutsProvisionallyPreservedButUnsuitableIn_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fruit and nuts provisionally preserved but unsuitable
Exports_EconomicActivity_FruitAndNutsUncookedOrCookedBySteamingOrBoilingIn,Exports of fruit and nuts uncooked or cooked by
Exports_EconomicActivity_FruitAndNutsUncookedOrCookedBySteamingOrBoilingIn_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fruit and nuts uncooked or cooked by
Exports_EconomicActivity_FruitDriedOtherThanThatOfHeadingNo0801To0806,Exports of fruit dried other than that of heading
Exports_EconomicActivity_FruitDriedOtherThanThatOfHeadingNo0801To0806_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fruit dried other than that of heading
Exports_EconomicActivity_FruitFreshNECInChapter08,Exports of fruit fresh necin chapter
Exports_EconomicActivity_FruitFreshNECInChapter08_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fruit fresh necin chapter
Exports_EconomicActivity_FruitNutsAndOtherEdiblePartsOfPlantsPreparedOr2008,Exports of fruit nuts and other edible parts of
Exports_EconomicActivity_FruitNutsAndOtherEdiblePartsOfPlantsPreparedOr2008_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fruit nuts and other edible parts of
Exports_EconomicActivity_FruitOrNutJuicesIncludingGrapeMustAndCoconutWater,Exports of fruit or nut juices including grape must
Exports_EconomicActivity_FruitOrNutJuicesIncludingGrapeMustAndCoconutWater_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fruit or nut juices including grape must
Exports_EconomicActivity_FuelWoodInLogsBilletsTwigsFaggotsOrSimilarForms,Exports of fuel wood in logs billets twigs faggots
Exports_EconomicActivity_FuelWoodInLogsBilletsTwigsFaggotsOrSimilarForms_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of fuel wood in logs billets twigs faggots
Exports_EconomicActivity_FurnaceBurnersForLiquidFuelForPulverisedSolidFuel,Exports of furnace burners for liquid fuel for pulverised
Exports_EconomicActivity_FurnaceBurnersForLiquidFuelForPulverisedSolidFuel_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of furnace burners for liquid fuel for pulverised
Exports_EconomicActivity_FurnacesAndOvensIndustrialOrLaboratoryIncluding,Exports of furnaces and ovens industrial or laboratory including
Exports_EconomicActivity_FurnacesAndOvensIndustrialOrLaboratoryIncluding_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of furnaces and ovens industrial or laboratory including
Exports_EconomicActivity_FurnishingArticlesExcludingThoseOfHeadingNo9404,Exports of furnishing articles excluding those of heading no
Exports_EconomicActivity_FurnishingArticlesExcludingThoseOfHeadingNo9404_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of furnishing articles excluding those of heading no
Exports_EconomicActivity_FurnitureAndPartsThereofNECInChapter94,Exports of furniture and parts thereof necin chapter
Exports_EconomicActivity_FurnitureAndPartsThereofNECInChapter94_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of furniture and parts thereof necin chapter
Exports_EconomicActivity_FurnitureBeddingMattressesMattressSupportsCushions,Exports of furniture bedding mattresses mattress supports cushions
Exports_EconomicActivity_FurnitureBeddingMattressesMattressSupportsCushions_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of furniture bedding mattresses mattress supports cushions
Exports_EconomicActivity_FurnitureMedicalSurgicalDentalOrVeterinaryEG,Exports of furniture medical surgical dental or veterinary eg
Exports_EconomicActivity_FurnitureMedicalSurgicalDentalOrVeterinaryEG_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of furniture medical surgical dental or veterinary eg
Exports_EconomicActivity_FurskinsAndArtificialFurManufacturesThereof,Exports of furskins and artificial fur manufactures thereof
Exports_EconomicActivity_FurskinsAndArtificialFurManufacturesThereof_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of furskins and artificial fur manufactures thereof
Exports_EconomicActivity_GarmentsAndClothingAccessoriesBabiesKnittedOr,Exports of garments and clothing accessories babies knitted or
Exports_EconomicActivity_GarmentsAndClothingAccessoriesBabiesKnittedOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of garments and clothing accessories babies knitted or
Exports_EconomicActivity_GarmentsAndClothingAccessoriesBabiesNotKnittedOr,Exports of garments and clothing accessories babies not knitted
Exports_EconomicActivity_GarmentsAndClothingAccessoriesBabiesNotKnittedOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of garments and clothing accessories babies not knitted
Exports_EconomicActivity_GarmentsKnittedOrCrochetedNECInChapter61,Exports of garments knitted or crocheted necin chapter
Exports_EconomicActivity_GarmentsKnittedOrCrochetedNECInChapter61_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of garments knitted or crocheted necin chapter
Exports_EconomicActivity_GarmentsMadeUpOfFabricsOfHeadingNo5602560359035906,Exports of garments made up of fabrics of heading
Exports_EconomicActivity_GarmentsMadeUpOfFabricsOfHeadingNo5602560359035906_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of garments made up of fabrics of heading
Exports_EconomicActivity_GarmentsMadeUpOfKnittedOrCrochetedFabricsOfHea6113,Exports of garments made up of knitted or crocheted
Exports_EconomicActivity_GarmentsMadeUpOfKnittedOrCrochetedFabricsOfHea6113_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of garments made up of knitted or crocheted
Exports_EconomicActivity_GasLiquidOrElectricitySupplyOrProductionMeters,Exports of gas liquid or electricity supply or production
Exports_EconomicActivity_GasLiquidOrElectricitySupplyOrProductionMeters_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of gas liquid or electricity supply or production
Exports_EconomicActivity_GasketsAndSimilarJointsOfMetalSheetingCombined8484,Exports of gaskets and similar joints of metal sheeting
Exports_EconomicActivity_GasketsAndSimilarJointsOfMetalSheetingCombined8484_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of gaskets and similar joints of metal sheeting
Exports_EconomicActivity_GauzeOtherThanNarrowFabricsOfHeadingNo58065803,Exports of gauze other than narrow fabrics of heading
Exports_EconomicActivity_GauzeOtherThanNarrowFabricsOfHeadingNo58065803_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of gauze other than narrow fabrics of heading
Exports_EconomicActivity_GelatinIncludingGelatinInRectangularSheetsWhet3503,Exports of gelatin including gelatin in rectangular sheets whet
Exports_EconomicActivity_GelatinIncludingGelatinInRectangularSheetsWhet3503_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of gelatin including gelatin in rectangular sheets whet
Exports_EconomicActivity_GeneratorsForProducerOrWaterGasWithOrWithoutTheir,Exports of generators for producer or water gas with
Exports_EconomicActivity_GeneratorsForProducerOrWaterGasWithOrWithoutTheir_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of generators for producer or water gas with
Exports_EconomicActivity_GingerSaffronTumericCurcumaThymeBayLeavesCurryAnd,Exports of ginger saffron tumeric curcuma thyme bay leaves
Exports_EconomicActivity_GingerSaffronTumericCurcumaThymeBayLeavesCurryAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of ginger saffron tumeric curcuma thyme bay leaves
Exports_EconomicActivity_GlandsAndOtherOrgansExtractsSecretionsThereofFor,Exports of glands and other organs extracts secretions thereof
Exports_EconomicActivity_GlandsAndOtherOrgansExtractsSecretionsThereofFor_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glands and other organs extracts secretions thereof
Exports_EconomicActivity_GlassAndGlassware,Exports of glass and glassware
Exports_EconomicActivity_GlassAndGlassware_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass and glassware
Exports_EconomicActivity_GlassArticlesNECInChapter707020,Exports of glass articles necin chapter
Exports_EconomicActivity_GlassArticlesNECInChapter707020_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass articles necin chapter
Exports_EconomicActivity_GlassBeadsImitationPearlsPreciousOrSemiPrecious,Exports of glass beads imitation pearls precious or semi
Exports_EconomicActivity_GlassBeadsImitationPearlsPreciousOrSemiPrecious_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass beads imitation pearls precious or semi
Exports_EconomicActivity_GlassCastGlassAndRolledGlassInSheetsOrProfiles,Exports of glass cast glass and rolled glass in
Exports_EconomicActivity_GlassCastGlassAndRolledGlassInSheetsOrProfiles_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass cast glass and rolled glass in
Exports_EconomicActivity_GlassCulletAndOtherWasteAndScrapOfGlassExcludi7001,Exports of glass cullet and other waste and scrap
Exports_EconomicActivity_GlassCulletAndOtherWasteAndScrapOfGlassExcludi7001_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass cullet and other waste and scrap
Exports_EconomicActivity_GlassDrawnGlassAndBlownGlassInSheetsWhetherOrNot,Exports of glass drawn glass and blown glass in
Exports_EconomicActivity_GlassDrawnGlassAndBlownGlassInSheetsWhetherOrNot_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass drawn glass and blown glass in
Exports_EconomicActivity_GlassEnvelopesIncludingBulbsAndTubesOpenAndGla7011,Exports of glass envelopes including bulbs and tubes open
Exports_EconomicActivity_GlassEnvelopesIncludingBulbsAndTubesOpenAndGla7011_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass envelopes including bulbs and tubes open
Exports_EconomicActivity_GlassFibresIncludingGlassWoolAndArticlesThereofEG,Exports of glass fibres including glass wool and articles
Exports_EconomicActivity_GlassFibresIncludingGlassWoolAndArticlesThereofEG_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass fibres including glass wool and articles
Exports_EconomicActivity_GlassFloatGlassAndSurfaceGroundOrPolishedGlass7005,Exports of glass float glass and surface ground or
Exports_EconomicActivity_GlassFloatGlassAndSurfaceGroundOrPolishedGlass7005_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass float glass and surface ground or
Exports_EconomicActivity_GlassInBallsOtherThanMicrospheresOfHeadingNo7018,Exports of glass in balls other than microspheres of
Exports_EconomicActivity_GlassInBallsOtherThanMicrospheresOfHeadingNo7018_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass in balls other than microspheres of
Exports_EconomicActivity_GlassMirrorsWhetherOrNotFramedIncludingRearView,Exports of glass mirrors whether or not framed including
Exports_EconomicActivity_GlassMirrorsWhetherOrNotFramedIncludingRearView_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass mirrors whether or not framed including
Exports_EconomicActivity_GlassMultipleWalledInsulatingUnitsOfGlass7008,Exports of glass multiple walled insulating units of glass
Exports_EconomicActivity_GlassMultipleWalledInsulatingUnitsOfGlass7008_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass multiple walled insulating units of glass
Exports_EconomicActivity_GlassOfHeadingNo70037004Or7005BentEdgeWorked7006,Exports of glass of heading no70037004or7005bent edge worked
Exports_EconomicActivity_GlassOfHeadingNo70037004Or7005BentEdgeWorked7006_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass of heading no70037004or7005bent edge worked
Exports_EconomicActivity_GlassPavingBlocksSlabsBricksTilesEtcOfPressed,Exports of glass paving blocks slabs bricks tiles etc
Exports_EconomicActivity_GlassPavingBlocksSlabsBricksTilesEtcOfPressed_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glass paving blocks slabs bricks tiles etc
Exports_EconomicActivity_GlasswareOfAKindUsedForTableKitchenToiletOffic7013,Exports of glassware of akind used for table kitchen
Exports_EconomicActivity_GlasswareOfAKindUsedForTableKitchenToiletOffic7013_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glassware of akind used for table kitchen
Exports_EconomicActivity_GlaziersPuttyGraftingPuttyResinCementsCaulking,Exports of glaziers putty grafting putty resin cements caulking
Exports_EconomicActivity_GlaziersPuttyGraftingPuttyResinCementsCaulking_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glaziers putty grafting putty resin cements caulking
Exports_EconomicActivity_GlovesMittensAndMittsKnittedOrCrocheted,Exports of gloves mittens and mitts knitted or crocheted
Exports_EconomicActivity_GlovesMittensAndMittsKnittedOrCrocheted_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of gloves mittens and mitts knitted or crocheted
Exports_EconomicActivity_GlovesMittensAndMittsNotKnittedOrCrocheted6216,Exports of gloves mittens and mitts not knitted or
Exports_EconomicActivity_GlovesMittensAndMittsNotKnittedOrCrocheted6216_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of gloves mittens and mitts not knitted or
Exports_EconomicActivity_GlycerolCrudeGlycerolWatersAndGlycerolLyes1520,Exports of glycerol crude glycerol waters and glycerol lyes
Exports_EconomicActivity_GlycerolCrudeGlycerolWatersAndGlycerolLyes1520_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glycerol crude glycerol waters and glycerol lyes
Exports_EconomicActivity_GlycosidesNaturalOrReproducedBySynthesisAndTheir,Exports of glycosides natural or reproduced by synthesis and
