dcid,sentence
Amount_EconomicActivity_Factory_GrossValueAdded_Beverages,Total gross value added of beverages factory
Amount_EconomicActivity_Factory_GrossValueAdded_ChemicalProducts,Total gross value added of chemical products factory
Amount_EconomicActivity_Factory_GrossValueAdded_CokeAndPetroleum,Total gross value added of coke and petroleum factory
Amount_EconomicActivity_Factory_GrossValueAdded_CottonGinningAndSeeds,Total gross value added of cotton ginning and seeds factory
Amount_EconomicActivity_Factory_GrossValueAdded_ElectricalEquipment,Total gross value added of electrical equipment factory
Amount_EconomicActivity_Factory_GrossValueAdded_ElectronicsAndOpticals,Total gross value added of electronics and opticals factory
Amount_EconomicActivity_Factory_GrossValueAdded_FabricatedMetalProducts,Total gross value added of fabricated metal products factory
Amount_EconomicActivity_Factory_GrossValueAdded_FoodProducts,Total gross value added of food products factory
Amount_EconomicActivity_Factory_GrossValueAdded_Furniture,Total gross value added of furniture factory
Amount_EconomicActivity_Factory_GrossValueAdded_LeatherProducts,Total gross value added of leather products factory
Amount_EconomicActivity_Factory_GrossValueAdded_MOSPIOtherIndustries,Total gross value added of mospi other industries factory
Amount_EconomicActivity_Factory_GrossValueAdded_MOSPIOtherManufacturing,Total gross value added of mospi other manufacturing factory
Amount_EconomicActivity_Factory_GrossValueAdded_MOSPIOtherTransportEquipment,Total gross value added of mospi other transport equipment factory
Amount_EconomicActivity_Factory_GrossValueAdded_MachineryNEC,Total gross value added of machinery NEC factory
Amount_EconomicActivity_Factory_GrossValueAdded_MachineryRepair,Total gross value added of machinery repair factory
Amount_EconomicActivity_Factory_GrossValueAdded_MotorVehiclesAndTrailers,Total gross value added of motor vehicles and trailers factory
Amount_EconomicActivity_Factory_GrossValueAdded_NonMetallicMinerals,Total gross value added of non metallic minerals factory
Amount_EconomicActivity_Factory_GrossValueAdded_PaperAndPaperProducts,Total gross value added of paper and paper products factory
Amount_EconomicActivity_Factory_GrossValueAdded_Pharmaceuticals,Total gross value added of pharmaceuticals factory
Amount_EconomicActivity_Factory_GrossValueAdded_PrintingAndMedia,Total gross value added of printing and media factory
Amount_EconomicActivity_Factory_GrossValueAdded_PublishingActivities,Total gross value added of publishing activities factory
Amount_EconomicActivity_Factory_GrossValueAdded_RubberAndPlastics,Total gross value added of rubber and plastics factory
Amount_EconomicActivity_Factory_GrossValueAdded_SaltProduction,Total gross value added of salt production factory
Amount_EconomicActivity_Factory_GrossValueAdded_Textiles,Total gross value added of textiles factory
Amount_EconomicActivity_Factory_GrossValueAdded_TobaccoProducts,Total gross value added of tobacco products factory
Amount_EconomicActivity_Factory_GrossValueAdded_WasteAndRecovery,Total gross value added of waste and recovery factory
