observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2011,wikidataId/Q1188,dcid:NDAP_SlumHousing_Livable,414894,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1188,dcid:NDAP_SlumHousing_Dilapidated,40526,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1191,dcid:NDAP_SlumHousing_Good,1412577,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1191,dcid:NDAP_SlumHousing_Livable,957476,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1191,dcid:NDAP_SlumHousing_Dilapidated,71147,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1195,dcid:NDAP_SlumHousing_Good,6515,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1195,dcid:NDAP_SlumHousing_Livable,3743,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1195,dcid:NDAP_SlumHousing_Dilapidated,461,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1502,dcid:NDAP_SlumHousing_Good,13041,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1502,dcid:NDAP_SlumHousing_Livable,3116,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1502,dcid:NDAP_SlumHousing_Dilapidated,98,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1599,dcid:NDAP_SlumHousing_Good,9117,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1599,dcid:NDAP_SlumHousing_Livable,5817,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1599,dcid:NDAP_SlumHousing_Dilapidated,274,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q22048,dcid:NDAP_SlumHousing_Good,132186,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q22048,dcid:NDAP_SlumHousing_Livable,187355,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q22048,dcid:NDAP_SlumHousing_Dilapidated,27529,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q22424,dcid:NDAP_SlumHousing_Good,126123,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q22424,dcid:NDAP_SlumHousing_Livable,142474,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q22424,dcid:NDAP_SlumHousing_Dilapidated,26959,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1437,dcid:NDAP_SlumHousing_Good,215214,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1437,dcid:NDAP_SlumHousing_Livable,153516,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1437,dcid:NDAP_SlumHousing_Dilapidated,11805,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1505,dcid:NDAP_SlumHousing_Good,6651,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1505,dcid:NDAP_SlumHousing_Livable,1769,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1505,dcid:NDAP_SlumHousing_Dilapidated,187,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1445,dcid:NDAP_SlumHousing_Good,1001502,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1445,dcid:NDAP_SlumHousing_Livable,421325,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1445,dcid:NDAP_SlumHousing_Dilapidated,24841,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1363,dcid:NDAP_SlumHousing_Good,18173,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1363,dcid:NDAP_SlumHousing_Livable,13620,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1363,dcid:NDAP_SlumHousing_Dilapidated,1926,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1498,dcid:NDAP_SlumHousing_Good,487031,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1498,dcid:NDAP_SlumHousing_Livable,447595,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1498,dcid:NDAP_SlumHousing_Dilapidated,49145,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1499,dcid:NDAP_SlumHousing_Good,56026,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1499,dcid:NDAP_SlumHousing_Livable,28844,Count,NDAP_NBO_SlumCompendium2015_Census,P1Y
