observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2011,wikidataId/Q1599,dcid:NDAP_PopulationDensity_Total,119,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q22048,dcid:NDAP_PopulationDensity_Total,236,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q22048,dcid:NDAP_PopulationDensity_Total,270,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q22424,dcid:NDAP_PopulationDensity_Total,484,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q22424,dcid:NDAP_PopulationDensity_Total,551,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1437,dcid:NDAP_PopulationDensity_Total,165,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1437,dcid:NDAP_PopulationDensity_Total,200,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1505,dcid:NDAP_PopulationDensity_Total,76,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1505,dcid:NDAP_PopulationDensity_Total,86,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1445,dcid:NDAP_PopulationDensity_Total,480,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1445,dcid:NDAP_PopulationDensity_Total,555,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1363,dcid:NDAP_PopulationDensity_Total,305,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1363,dcid:NDAP_PopulationDensity_Total,350,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1498,dcid:NDAP_PopulationDensity_Total,690,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1498,dcid:NDAP_PopulationDensity_Total,829,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2001,wikidataId/Q1499,dcid:NDAP_PopulationDensity_Total,159,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
2011,wikidataId/Q1499,dcid:NDAP_PopulationDensity_Total,189,PerSquareKilometer,NDAP_NBO_SlumCompendium2015_Census,P1Y
