observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2011,wikidataId/Q1437,dcid:NDAP_SlumPopulation_Statewise,2068000,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1437,dcid:NDAP_SlumPctOfUrban_Statewise,12.13,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1505,dcid:NDAP_SlumPopulation_Statewise,31378,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1505,dcid:NDAP_SlumPctOfUrban_Statewise,20.43,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1445,dcid:NDAP_SlumPopulation_Statewise,5798459,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1445,dcid:NDAP_SlumPctOfUrban_Statewise,16.61,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1363,dcid:NDAP_SlumPopulation_Statewise,139780,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1363,dcid:NDAP_SlumPctOfUrban_Statewise,14.54,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1498,dcid:NDAP_SlumPopulation_Statewise,6239965,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1498,dcid:NDAP_SlumPctOfUrban_Statewise,14.02,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1499,dcid:NDAP_SlumPopulation_Statewise,487741,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1499,dcid:NDAP_SlumPctOfUrban_Statewise,15.99,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1356,dcid:NDAP_SlumPopulation_Statewise,6418594,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1356,dcid:NDAP_SlumPctOfUrban_Statewise,22.06,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q40888,dcid:NDAP_SlumPopulation_Statewise,14172,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q40888,dcid:NDAP_SlumPctOfUrban_Statewise,9.88,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q43433,dcid:NDAP_SlumPopulation_Statewise,95135,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q43433,dcid:NDAP_SlumPctOfUrban_Statewise,9.27,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1353,dcid:NDAP_SlumPopulation_Statewise,1785390,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1353,dcid:NDAP_SlumPctOfUrban_Statewise,10.91,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q66583,dcid:NDAP_SlumPopulation_Statewise,144573,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q66583,dcid:NDAP_SlumPctOfUrban_Statewise,16.95,Percent,NDAP_NBO_SlumCompendium2015,P1Y
2011,country/IND,dcid:NDAP_SlumPopulation_Statewise,65494604,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,country/IND,dcid:NDAP_SlumPctOfUrban_Statewise,17.37,Percent,NDAP_NBO_SlumCompendium2015,P1Y
