observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2011,wikidataId/Q1437,dcid:NDAP_SlumHouseholdSize_Avg,5.2,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1505,dcid:NDAP_SlumHouseholds_Total,7203,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1505,dcid:NDAP_SlumHouseholdSize_Avg,4.4,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1445,dcid:NDAP_SlumHouseholds_Total,1463689,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1445,dcid:NDAP_SlumHouseholdSize_Avg,4.0,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1363,dcid:NDAP_SlumHouseholds_Total,34143,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1363,dcid:NDAP_SlumHouseholdSize_Avg,4.1,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1498,dcid:NDAP_SlumHouseholds_Total,1066363,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1498,dcid:NDAP_SlumHouseholdSize_Avg,5.9,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1499,dcid:NDAP_SlumHouseholds_Total,93911,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1499,dcid:NDAP_SlumHouseholdSize_Avg,5.2,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1356,dcid:NDAP_SlumHouseholds_Total,1391756,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1356,dcid:NDAP_SlumHouseholdSize_Avg,4.6,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q40888,dcid:NDAP_SlumHouseholds_Total,3324,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q40888,dcid:NDAP_SlumHouseholdSize_Avg,4.3,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q43433,dcid:NDAP_SlumHouseholds_Total,21704,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q43433,dcid:NDAP_SlumHouseholdSize_Avg,4.4,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1353,dcid:NDAP_SlumHouseholds_Total,367893,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q1353,dcid:NDAP_SlumHouseholdSize_Avg,4.9,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q66583,dcid:NDAP_SlumHouseholds_Total,34839,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,wikidataId/Q66583,dcid:NDAP_SlumHouseholdSize_Avg,4.1,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,country/IND,dcid:NDAP_SlumHouseholds_Total,13920191,Count,NDAP_NBO_SlumCompendium2015,P1Y
2011,country/IND,dcid:NDAP_SlumHouseholdSize_Avg,4.7,Count,NDAP_NBO_SlumCompendium2015,P1Y
